names,scores,logfoldchanges,pvals,pvals_adj
PDE1C,17.129995,0.5902981,8.866256114259909e-66,5.266212720542017e-64
TMEM178B,17.121319,0.322076,1.0291840010617027e-65,6.091505376108539e-64
AMY2B,17.11538,0.90481853,1.1397174015373057e-65,6.733913480851852e-64
ATP1A1,17.11482,0.47454143,1.1506892396081324e-65,6.786853649765658e-64
SELENOP,17.10197,1.1886514,1.4346989162653353e-65,8.44719674311407e-64
OSBPL6,17.08527,0.39789626,1.910540657916533e-65,1.1209723508892188e-63
NFASC,17.074104,0.33772922,2.3134607646545467e-65,1.3550212815477506e-63
CCNY,17.058546,0.31452182,3.019820000528897e-65,1.7656788103612373e-63
ELMOD1,17.02031,0.7852953,5.806321073572906e-65,3.3832099146654424e-63
TENT5A,16.951424,0.5945876,1.8784913171444925e-64,1.088911710764669e-62
SLC25A48,16.950851,1.6988175,1.8968852577937783e-64,1.0976881293685884e-62
CMYA5,16.937294,0.56413466,2.3886545797913355e-64,1.3775391377507742e-62
ARPP19,16.918976,0.75208855,3.2605474695530405e-64,1.8771517061486504e-62
RHBDL3,16.8847,0.47189316,5.831157059850262e-64,3.3343346733587847e-62
JPH1,16.882465,1.7723356,6.056170771900044e-64,3.4571410039186425e-62
ANKUB1,16.8805,0.40377426,6.261064358663601e-64,3.56806635588233e-62
AP1S2,16.844042,0.3803777,1.1603299461327173e-63,6.568129428301926e-62
ACSL6,16.820274,0.8276528,1.7335482189402734e-63,9.79643488482211e-62
ATP1B2,16.790413,0.765626,2.868429226199888e-63,1.615562550990077e-61
CNR1,16.747698,0.6407037,5.886005397608801e-63,3.309602734985469e-61
EEF1A1,16.740843,0.24325596,6.604619180222147e-63,3.707488141150658e-61
PPIA,16.72275,0.52310485,8.949307598623858e-63,5.015328745095899e-61
SEMA5A,16.669968,0.3432017,2.167087805104214e-62,1.2084469633190227e-60
NDUFA4,16.627293,0.8888118,4.421273191414083e-62,2.461394284797639e-60
BRAF,16.620071,0.29009765,4.987308373556736e-62,2.7719410642287254e-60
KIF5B,16.610683,0.37049583,5.832516566566111e-62,3.2310609426312134e-60
PLD1,16.602356,0.8233898,6.700798790039851e-62,3.705981127534008e-60
LINC00844,16.595821,1.5859103,7.471579492956319e-62,4.125510267657403e-60
NAV3,16.575977,0.2605055,1.0395798614397956e-61,5.730768919182089e-60
PHYHIPL,16.5685,0.39871493,1.1772655677275149e-61,6.479185719155493e-60
FBN1,16.553238,0.40877706,1.5171696061126915e-61,8.336278664727015e-60
AKAP6,16.527178,0.30594537,2.3384138378699906e-61,1.2806991501334393e-59
ANLN,16.524342,0.6845636,2.4510173070132946e-61,1.3401940176127638e-59
PFN2,16.466082,0.8375457,6.430205611278096e-61,3.504617878961052e-59
SELENOW,16.433224,0.7485285,1.1061806621664302e-60,5.999874115676665e-59
FGFR2,16.423454,0.8237158,1.2995205721099005e-60,7.037227213687272e-59
RASGRF2,16.411062,1.0722911,1.5939004119006702e-60,8.617534967354632e-59
