group,names,scores,logfoldchanges,pvals,pvals_adj
18,COL4A1,19.883657,4.8100367,5.637002493141506e-88,2.7167936158730714e-84
18,LAMA2,19.788197,4.7078824,3.762683691232678e-87,1.5867707461389607e-83
18,PTEN,19.718733,3.5762742,1.4891441131386065e-86,5.582139438328574e-83
18,COL4A2,19.196562,4.18881,3.954216501065843e-82,1.3340340209645836e-78
19,TMSB4X,58.74687,3.2788007,0.0,0.0
19,ACTB,56.478706,2.699175,0.0,0.0
19,CLU,55.456207,2.6936324,0.0,0.0
19,MT-CO3,48.915527,1.6118929,0.0,0.0
19,CALM1,47.70359,3.5105755,0.0,0.0
19,MT-CO2,45.997704,1.5185033,0.0,0.0
19,CST3,45.647606,3.1447144,0.0,0.0
19,HSP90AA1,40.68851,2.4074285,0.0,0.0
19,SPARCL1,37.267982,2.1106262,5.418954364894042e-304,6.176326466501024e-302
19,SYT1,34.280766,2.7390075,1.5184716137910035e-257,1.0606351311483869e-255
20,CA10,76.34912,4.4632955,0.0,0.0
20,DSCAM,74.65155,3.6372797,0.0,0.0
20,GRID2,73.88764,3.1974158,0.0,0.0
20,NRXN1,70.258385,2.6262393,0.0,0.0
20,FGF14,69.32022,3.0709538,0.0,0.0
20,CSMD1,69.01416,3.1344965,0.0,0.0
20,MMP16,67.44386,2.6541588,0.0,0.0
20,FGF12,67.005066,2.9786258,0.0,0.0
20,LRRC4C,65.16023,2.6466873,0.0,0.0
20,PDE4B,63.922585,2.0310624,0.0,0.0
21,NAMPT,115.06387,3.6872947,0.0,0.0
21,SOD2,111.44887,3.4485161,0.0,0.0
21,RNF19A,109.31635,3.1952908,0.0,0.0
21,MIR99AHG,103.70004,2.01517,0.0,0.0
21,GLIS3,89.40756,2.2859395,0.0,0.0
21,GFAP,86.823685,2.773978,0.0,0.0
21,PLEKHA5,83.87285,2.5381927,0.0,0.0
21,RALYL,83.086044,3.1548107,0.0,0.0
21,SLIT2,81.42108,3.4659941,0.0,0.0
21,AC083837.1,80.77866,4.44234,0.0,0.0
22,TNRC6B,53.120926,4.247789,0.0,0.0
22,NBAS,52.899265,4.4079313,0.0,0.0
22,CPSF6,52.32378,5.3463163,0.0,0.0
22,DDX1,51.04834,4.6561565,0.0,0.0
22,FIRRE,50.587467,4.3151026,0.0,0.0
22,CASC15,49.408176,4.151933,0.0,0.0
22,MYT1L,49.079086,5.1742754,0.0,0.0
22,NUP107,48.90901,4.1534405,0.0,0.0
22,CCT2,48.726955,4.5823965,0.0,0.0
22,FRS2,48.49641,4.3024936,0.0,0.0
23,MIR99AHG,58.514034,2.891261,0.0,0.0
23,AQP4-AS1,52.52315,3.6739156,0.0,0.0
23,LUZP2,51.730137,3.7280564,0.0,0.0
23,GINS3,49.95281,3.9689882,0.0,0.0
23,GFAP,48.908897,3.289822,0.0,0.0
23,ID4,48.58581,3.5815656,0.0,0.0
23,ANKFN1,48.304573,2.8435044,0.0,0.0
